node.name,node.createdAt,node.stargazers.totalCount
freeCodeCamp,2014-12-24T17:49:19Z,314703
996.ICU,2019-03-26T07:31:14Z,251588
vue,2013-07-29T03:24:51Z,172039
free-programming-books,2013-10-11T06:50:37Z,159507
react,2013-05-24T16:15:54Z,155900
tensorflow,2015-11-07T01:19:20Z,148397
bootstrap,2011-07-29T21:19:00Z,144098
awesome,2014-07-11T13:42:37Z,140915
coding-interview-university,2016-06-06T02:34:12Z,134609
You-Dont-Know-JS,2013-11-16T02:37:24Z,127392
developer-roadmap,2017-03-15T13:45:52Z,125600
ohmyzsh,2009-08-28T18:15:37Z,116203
CS-Notes,2018-02-13T14:56:24Z,110963
gitignore,2010-11-08T20:17:14Z,107833
system-design-primer,2017-02-26T16:15:28Z,106802
vscode,2015-09-03T20:23:38Z,103207
flutter,2015-03-06T22:54:58Z,101412
javascript,2012-11-01T23:13:50Z,99648
linux,2011-09-04T22:48:12Z,97450
public-apis,2016-03-20T23:49:42Z,96228
d3,2010-09-27T17:22:42Z,93693
Python-100-Days,2018-03-01T16:05:52Z,92643
react-native,2015-01-09T18:10:16Z,90097
JavaGuide,2018-05-07T13:27:00Z,88056
awesome-python,2014-06-27T21:00:06Z,86636
electron,2013-04-12T01:47:36Z,85784
Python,2016-07-16T09:44:01Z,85470
build-your-own-x,2018-05-09T12:03:18Z,82261
create-react-app,2016-07-17T14:55:11Z,81868
javascript-algorithms,2018-03-24T07:47:04Z,80896
the-art-of-command-line,2015-05-20T15:11:03Z,80315
axios,2014-08-18T22:30:27Z,76996
go,2014-08-19T04:33:40Z,76538
node,2014-11-26T19:57:11Z,72976
youtube-dl,2010-10-31T14:35:07Z,70774
kubernetes,2014-06-06T22:56:04Z,70032
free-programming-books-zh_CN,2013-11-04T01:59:19Z,69837
animate.css,2011-10-12T10:07:38Z,67878
terminal,2017-08-11T18:38:22Z,67844
deno,2018-05-15T01:34:26Z,67316
models,2016-02-05T01:15:20Z,66098
angular,2014-09-18T16:12:01Z,65979
computer-science,2014-05-04T00:18:39Z,65746
puppeteer,2017-05-09T22:16:13Z,65115
TypeScript,2014-06-17T15:28:39Z,64321
Font-Awesome,2012-02-17T14:19:43Z,63904
three.js,2010-03-23T18:58:01Z,63402
ant-design,2015-04-24T15:37:24Z,63355
fucking-algorithm,2020-02-19T09:01:23Z,61770
30-seconds-of-code,2017-11-29T17:35:03Z,61731
laravel,2011-06-08T03:06:08Z,61447
material-ui,2014-08-18T19:11:54Z,60977
java-design-patterns,2014-08-09T16:45:18Z,60543
vue-element-admin,2017-04-17T03:35:49Z,59752
angular.js,2010-01-06T00:34:37Z,59508
LeetCodeAnimation,2018-12-06T08:01:22Z,59212
moby,2013-01-18T18:10:57Z,58051
awesome-go,2014-07-06T13:42:15Z,57443
awesome-vue,2015-10-20T00:16:14Z,56353
webpack,2012-03-10T10:08:14Z,55595
thefuck,2015-04-08T15:08:04Z,55476
redux,2015-05-29T23:53:15Z,54295
jquery,2009-04-03T15:20:14Z,53962
swift,2015-10-23T21:15:07Z,53457
storybook,2016-03-18T04:23:44Z,53438
next.js,2016-10-05T23:32:51Z,53232
reveal.js,2011-06-07T18:54:22Z,53080
atom,2012-01-20T18:18:21Z,52991
nodebestpractices,2017-09-15T08:33:19Z,52384
flask,2010-04-06T11:11:59Z,52011
django,2012-04-28T02:47:18Z,51974
elasticsearch,2010-02-08T13:20:56Z,51033
socket.io,2010-03-11T18:24:48Z,50669
FiraCode,2014-11-11T19:32:38Z,50536
spring-boot,2012-10-19T15:02:57Z,50494
shadowsocks-windows,2013-01-14T07:54:16Z,50435
Chart.js,2013-03-17T23:56:36Z,50277
express,2009-06-26T18:56:01Z,50103
keras,2015-03-28T00:35:42Z,49739
json-server,2013-11-27T13:21:13Z,49520
Apollo-11,2014-04-03T15:45:02Z,49005
Semantic-UI,2013-04-08T23:32:04Z,48450
awesome-selfhosted,2015-06-01T02:33:17Z,48439
netdata,2013-06-17T18:39:10Z,48387
opencv,2012-07-19T09:40:17Z,48280
rust,2010-06-16T20:39:03Z,48237
markdown-here,2012-05-13T03:27:22Z,48202
httpie,2012-02-25T12:39:13Z,48061
interviews,2017-02-14T18:19:25Z,47653
architect-awesome,2018-04-06T13:30:58Z,47415
advanced-java,2018-10-06T11:38:30Z,47289
element,2016-09-03T06:19:26Z,47239
gatsby,2015-05-21T22:43:05Z,46878
realworld,2016-02-26T20:49:53Z,46789
html5-boilerplate,2010-01-24T18:03:24Z,46759
hugo,2013-07-04T15:26:26Z,46628
awesome-machine-learning,2014-07-15T19:11:19Z,46514
lodash,2012-04-07T04:11:46Z,46492
rails,2008-04-11T02:19:47Z,46405
resume.github.com,2011-02-06T13:39:55Z,46149
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,46026
redis,2009-03-21T22:32:25Z,45179
bitcoin,2010-12-19T15:16:43Z,45126
tech-interview-handbook,2016-07-05T05:00:48Z,44876
moment,2011-03-01T02:46:06Z,44752
ansible,2012-03-06T14:58:02Z,44746
nvm,2010-04-15T17:47:47Z,44046
protobuf,2014-08-26T15:52:15Z,43720
requests,2011-02-13T18:38:17Z,43513
RxJava,2013-01-08T20:11:48Z,43430
nocode,2018-02-06T23:54:00Z,43425
papers-we-love,2013-12-15T14:31:41Z,42979
incubator-echarts,2013-04-03T03:18:59Z,42860
Front-End-Checklist,2017-10-16T10:12:36Z,42801
every-programmer-should-know,2017-08-24T13:18:26Z,42601
scikit-learn,2010-08-17T09:43:38Z,42283
meteor,2012-01-19T01:58:17Z,41943
pytorch,2016-08-13T05:26:41Z,41811
ionic-framework,2013-08-20T23:06:02Z,41744
gin,2014-06-16T23:57:25Z,41660
react-router,2014-05-16T22:22:51Z,41637
jekyll,2008-10-20T06:29:03Z,41241
bulma,2016-01-23T23:48:34Z,41121
material-design-icons,2014-10-08T18:01:28Z,40982
mall,2018-04-04T01:11:44Z,40936
awesome-public-datasets,2014-11-20T06:20:50Z,40930
DeepLearning-500-questions,2018-06-27T06:36:45Z,40712
normalize.css,2011-05-04T10:20:25Z,40548
Awesome-Hacking,2016-03-30T15:47:10Z,40539
hacker-scripts,2015-11-21T19:05:09Z,39408
spring-framework,2010-12-08T04:04:45Z,39236
